"","TVC.division","TVC.migration","ATM.division","ATM.migration","other"
"Daam.slide1_image29_left.2019_08_29","WT","WT","enhanced","enhanced","WT"
"Daam.slide1_image29_right.2019_08_29","inhibited","WT","WT","WT","WT"
"Daam.slide1_image30.2019_08_29","inhibited","WT","WT","WT","WT"
"Daam.slide1_image31_left.2019_08_29","inhibited","WT","WT","enhanced","WT"
"Daam.slide1_image31_right.2019_08_29","WT","WT","WT","WT","WT"
"Daam.slide1_image32.2019_08_29","WT","WT","enhanced","enhanced","TVC alignment"
"Daam.slide1_image4_left.2019_08_29","inhibited","inhibited","WT","WT","WT"
"Daam.slide1_image5_left.2019_08_29","WT","WT","WT","WT","WT"
"Daam.slide1_image5_right.2019_08_29","WT","WT","WT","enhanced","TVC alignment"
"Daam.slide1_image7_left.2019_08_29","inhibited","WT","WT","WT","WT"
"Daam.slide1_image7_right.2019_08_29","WT","WT","WT","WT","WT"
"Daam.slide1_image8_left.2019_08_29","WT","WT","WT","WT","WT"
"Daam.slide1_image9.2019_08_29","inhibited","WT","WT","enhanced","WT"
"Daam.slide2_image10_left.2019_08_29","WT","WT","WT","WT","WT"
"Daam.slide2_image10_right.2019_08_29","inhibited","inhibited","WT","WT","WT"
"Daam.slide2_image11.2019_08_29","inhibited","WT","WT","WT","WT"
"Daam.slide2_image12.2019_08_29","WT","WT","WT","WT","WT"
"Daam.slide2_image13.2019_08_29","inhibited","WT","WT","WT","WT"
"Daam.slide2_image14_left.2019_08_29","inhibited","WT","WT","WT","WT"
"Daam.slide2_image14_right.2019_08_29","inhibited","WT","WT","WT","WT"
"Daam.slide2_image15.2019_08_29","WT","WT","WT","WT","TVC alignment"
"Daam.slide2_image16_left.2019_08_29","inhibited","WT","WT","WT","WT"
"Daam.slide2_image16_right.2019_08_29","inhibited","WT","WT","WT","WT"
"Daam.slide2_image17_left.2019_08_29","inhibited","WT","WT","WT","WT"
"Daam.slide2_image17_right.2019_08_29","inhibited","WT","WT","WT","WT"
"Daam.slide2_image19_left.2019_08_29","inhibited","WT","WT","WT","WT"
"Daam.slide2_image19_right.2019_08_29","inhibited","WT","WT","WT","WT"
"Daam.slide2_image2_left.2019_08_29","inhibited","WT","WT","enhanced","WT"
"Daam.slide2_image2_right.2019_08_29","inhibited","WT","WT","WT","WT"
"Daam.slide2_image20_right.2019_08_29","inhibited","WT","WT","enhanced","WT"
"Daam.slide2_image21.2019_08_29","inhibited","WT","WT","WT","WT"
"Daam.slide2_image22.2019_08_29","WT","WT","WT","WT","TVC alignment"
"Daam.slide2_image23.2019_08_29","inhibited","inhibited","WT","WT","TVC alignment"
"Daam.slide2_image26_right.2019_08_29","WT","WT","WT","WT","WT"
"Daam.slide2_image27_left.2019_08_29","WT","WT","WT","WT","WT"
"Daam.slide2_image27_right.2019_08_29","inhibited","WT","enhanced","enhanced","WT"
"Daam.slide2_image3.2019_08_29","inhibited","WT","WT","WT","WT"
"Daam.slide2_image30.2019_08_29","inhibited","WT","WT","enhanced","WT"
"Daam.slide2_image31.2019_08_29","inhibited","WT","WT","enhanced","WT"
"Daam.slide2_image4_left.2019_08_29","inhibited","WT","WT","WT","WT"
"Daam.slide2_image5.2019_08_29","WT","WT","WT","WT","TVC alignment"
"Daam.slide2_image7.2019_08_29","WT","WT","WT","WT","TVC alignment"
"Ddr.image1_left.2020_07_23","inhibited","WT","WT","WT","WT"
"Ddr.image1_left.2020_07_23.1","inhibited","inhibited","WT","WT","WT"
"Ddr.image1_right.2020_07_23","WT","WT","WT","WT","WT"
"Ddr.image1_right.2020_07_23.1","inhibited","inhibited","WT","WT","WT"
"Ddr.image10.2020_07_23","enhanced","WT","WT","WT","WT"
"Ddr.image11.2020_07_23","WT","WT","WT","enhanced","WT"
"Ddr.image12.2020_07_23","inhibited","WT","WT","WT","WT"
"Ddr.image13_left.2020_07_23","inhibited","WT","WT","WT","WT"
"Ddr.image13_right.2020_07_23","inhibited","inhibited","WT","WT","WT"
"Ddr.image2_left.2020_07_23","WT","WT","WT","enhanced","WT"
"Ddr.image2_right.2020_07_23","WT","WT","WT","WT","WT"
"Ddr.image2.2020_07_23","WT","WT","WT","WT","WT"
"Ddr.image3_left.2020_07_23","WT","WT","WT","WT","WT"
"Ddr.image3_right.2020_07_23","WT","WT","WT","WT","WT"
"Ddr.image3.2020_07_23","WT","WT","WT","WT","TVC alignment"
"Ddr.image4.2020_07_23","WT","WT","WT","WT","WT"
"Ddr.image4.2020_07_23.1","inhibited","WT","WT","WT","WT"
"Ddr.image5_left.2020_07_23","inhibited","WT","WT","WT","WT"
"Ddr.image6_left.2020_07_23","WT","WT","WT","WT","WT"
"Ddr.image7.2020_07_23","WT","WT","WT","WT","WT"
"Ddr.image7.2020_07_23.1","WT","WT","WT","WT","WT"
"Ddr.image9_right.2020_07_23","WT","WT","WT","WT","WT"
"Depdc.image1_left.2020_06_17","inhibited","WT","enhanced","enhanced","WT"
"Depdc.image1_right.2020_06_17","WT","WT","WT","WT","TVC alignment"
"Depdc.image1.2020_01_10","WT","WT","WT","WT","TVC alignment"
"Depdc.image1.2020_06_17","WT","WT","WT","enhanced","TVC alignment"
"Depdc.image10.2020_01_10","WT","WT","WT","WT","TVC alignment"
"Depdc.image11_left.2020_01_10","WT","WT","WT","WT","TVC alignment"
"Depdc.image11_right.2020_01_10","WT","WT","WT","WT","WT"
"Depdc.image12.2020_01_10","WT","WT","WT","WT","WT"
"Depdc.image13.2020_01_10","WT","WT","WT","WT","TVC alignment"
"Depdc.image14_left.2020_01_10","WT","WT","enhanced","enhanced","WT"
"Depdc.image14_right.2020_01_10","WT","WT","WT","WT","TVC alignment"
"Depdc.image15_left.2020_01_10","WT","WT","WT","WT","TVC alignment"
"Depdc.image15_right.2020_01_10","inhibited","inhibited","WT","WT","WT"
"Depdc.image16_left.2020_01_10","WT","WT","WT","WT","TVC alignment"
"Depdc.image16_right.2020_01_10","WT","WT","WT","WT","WT"
"Depdc.image17_left.2020_01_10","WT","WT","WT","WT","TVC alignment"
"Depdc.image17_right.2020_01_10","WT","WT","WT","WT","WT"
